Training started for V3c
============================================================
Epoch 145: Train=0.001916, Val=0.000097, Data=0.001527, Phys=568.778633, Lambda=6.85e-07, LR=1.00e-05
Epoch 146: Train=0.001912, Val=0.000094, Data=0.001515, Phys=568.110304, Lambda=6.99e-07, LR=1.00e-05
Epoch 147: Train=0.001907, Val=0.000089, Data=0.001503, Phys=567.352540, Lambda=7.13e-07, LR=1.00e-05
Epoch 148: Train=0.001908, Val=0.000082, Data=0.001495, Phys=567.107076, Lambda=7.28e-07, LR=1.00e-05
Epoch 149: Train=0.001901, Val=0.000080, Data=0.001482, Phys=563.985193, Lambda=7.43e-07, LR=1.00e-05
Epoch 150: Train=0.001898, Val=0.000084, Data=0.001469, Phys=565.270355, Lambda=7.59e-07, LR=1.00e-05
Epoch 151: Train=0.001899, Val=0.000082, Data=0.001464, Phys=561.837487, Lambda=7.74e-07, LR=1.00e-05
Epoch 152: Train=0.001901, Val=0.000083, Data=0.001456, Phys=562.657711, Lambda=7.90e-07, LR=1.00e-05
Epoch 153: Train=0.001906, Val=0.000086, Data=0.001453, Phys=561.361623, Lambda=8.07e-07, LR=1.00e-05
Epoch 154: Train=0.001896, Val=0.000084, Data=0.001434, Phys=561.293489, Lambda=8.23e-07, LR=1.00e-05
Epoch 155: Train=0.001897, Val=0.000079, Data=0.001427, Phys=559.072734, Lambda=8.40e-07, LR=1.00e-05
Epoch 156: Train=0.001910, Val=0.000080, Data=0.001431, Phys=558.623364, Lambda=8.58e-07, LR=1.00e-05
Epoch 157: Train=0.001904, Val=0.000082, Data=0.001415, Phys=559.016104, Lambda=8.75e-07, LR=1.00e-05
Epoch 158: Train=0.001911, Val=0.000075, Data=0.001415, Phys=555.101329, Lambda=8.94e-07, LR=1.00e-05
Epoch 159: Train=0.001889, Val=0.000091, Data=0.001381, Phys=557.313941, Lambda=9.12e-07, LR=1.00e-05
Epoch 160: Train=0.001910, Val=0.000078, Data=0.001393, Phys=554.539279, Lambda=9.31e-07, LR=1.00e-05
