Training started for V3a_a_0_001
============================================================
Epoch 194: Train=0.000284, Val=0.000009, Data=0.000276, Phys=462.661466, Lambda=1.87e-08, LR=1.00e-04
Epoch 195: Train=0.000287, Val=0.000009, Data=0.000278, Phys=460.308368, Lambda=1.91e-08, LR=1.00e-04
Epoch 196: Train=0.000282, Val=0.000009, Data=0.000273, Phys=458.980452, Lambda=1.94e-08, LR=1.00e-04
Epoch 197: Train=0.000288, Val=0.000011, Data=0.000279, Phys=455.572091, Lambda=1.99e-08, LR=1.00e-04
Epoch 198: Train=0.000285, Val=0.000009, Data=0.000276, Phys=455.107578, Lambda=2.03e-08, LR=1.00e-04
Epoch 199: Train=0.000284, Val=0.000011, Data=0.000275, Phys=450.586283, Lambda=2.07e-08, LR=1.00e-04
Epoch 200: Train=0.000277, Val=0.000010, Data=0.000267, Phys=451.058931, Lambda=2.11e-08, LR=1.00e-04
Epoch 201: Train=0.000286, Val=0.000009, Data=0.000276, Phys=447.717626, Lambda=2.15e-08, LR=1.00e-04
Epoch 202: Train=0.000283, Val=0.000012, Data=0.000274, Phys=445.100649, Lambda=2.20e-08, LR=1.00e-04
Epoch 203: Train=0.000278, Val=0.000010, Data=0.000268, Phys=444.047090, Lambda=2.24e-08, LR=1.00e-04
Epoch 204: Train=0.000278, Val=0.000010, Data=0.000268, Phys=440.366841, Lambda=2.29e-08, LR=1.00e-04
Epoch 205: Train=0.000280, Val=0.000010, Data=0.000270, Phys=439.346348, Lambda=2.34e-08, LR=1.00e-04
Epoch 206: Train=0.000291, Val=0.000011, Data=0.000280, Phys=436.700240, Lambda=2.39e-08, LR=1.00e-04
Epoch 207: Train=0.000280, Val=0.000009, Data=0.000269, Phys=434.656861, Lambda=2.44e-08, LR=1.00e-04
Epoch 208: Train=0.000277, Val=0.000008, Data=0.000266, Phys=432.181507, Lambda=2.49e-08, LR=1.00e-04
Epoch 209: Train=0.000279, Val=0.000011, Data=0.000268, Phys=429.661629, Lambda=2.54e-08, LR=1.00e-04
Epoch 210: Train=0.000275, Val=0.000011, Data=0.000264, Phys=427.901033, Lambda=2.59e-08, LR=1.00e-04
Epoch 211: Train=0.000281, Val=0.000012, Data=0.000270, Phys=425.267940, Lambda=2.64e-08, LR=1.00e-04
Epoch 212: Train=0.000278, Val=0.000010, Data=0.000266, Phys=422.719308, Lambda=2.70e-08, LR=1.00e-04
Epoch 213: Train=0.000274, Val=0.000012, Data=0.000263, Phys=421.045708, Lambda=2.75e-08, LR=1.00e-04
Epoch 214: Train=0.000275, Val=0.000009, Data=0.000263, Phys=418.285472, Lambda=2.81e-08, LR=1.00e-04
Epoch 215: Train=0.000277, Val=0.000009, Data=0.000265, Phys=416.124368, Lambda=2.87e-08, LR=1.00e-04
Epoch 216: Train=0.000278, Val=0.000010, Data=0.000266, Phys=413.714393, Lambda=2.93e-08, LR=1.00e-04
Epoch 217: Train=0.000279, Val=0.000010, Data=0.000266, Phys=411.291192, Lambda=2.99e-08, LR=1.00e-04
Epoch 218: Train=0.000279, Val=0.000009, Data=0.000267, Phys=408.476492, Lambda=3.05e-08, LR=1.00e-04
Epoch 219: Train=0.000278, Val=0.000010, Data=0.000265, Phys=407.077349, Lambda=3.11e-08, LR=1.00e-04
Epoch 220: Train=0.000273, Val=0.000011, Data=0.000260, Phys=404.523111, Lambda=3.18e-08, LR=1.00e-04
Epoch 221: Train=0.000274, Val=0.000010, Data=0.000261, Phys=402.056964, Lambda=3.24e-08, LR=1.00e-04
Epoch 222: Train=0.000275, Val=0.000009, Data=0.000261, Phys=398.753873, Lambda=3.31e-08, LR=1.00e-04
Epoch 223: Train=0.000279, Val=0.000010, Data=0.000266, Phys=397.129324, Lambda=3.38e-08, LR=1.00e-04
Epoch 224: Train=0.000278, Val=0.000011, Data=0.000264, Phys=393.591215, Lambda=3.45e-08, LR=1.00e-04
