Training started for V3b
============================================================
Epoch 202: Train=0.000755, Val=0.000028, Data=0.000691, Phys=618.062039, Lambda=1.03e-07, LR=1.00e-05
Epoch 203: Train=0.000763, Val=0.000029, Data=0.000697, Phys=615.566249, Lambda=1.06e-07, LR=1.00e-05
Epoch 204: Train=0.000762, Val=0.000029, Data=0.000695, Phys=615.507795, Lambda=1.10e-07, LR=1.00e-05
Epoch 205: Train=0.000762, Val=0.000031, Data=0.000693, Phys=613.695570, Lambda=1.13e-07, LR=1.00e-05
Epoch 206: Train=0.000759, Val=0.000032, Data=0.000688, Phys=614.164514, Lambda=1.17e-07, LR=1.00e-05
Epoch 207: Train=0.000758, Val=0.000028, Data=0.000684, Phys=615.080907, Lambda=1.20e-07, LR=1.00e-05
Epoch 208: Train=0.000764, Val=0.000028, Data=0.000688, Phys=614.385711, Lambda=1.24e-07, LR=1.00e-05
Epoch 209: Train=0.000759, Val=0.000028, Data=0.000681, Phys=612.904406, Lambda=1.28e-07, LR=1.00e-05
Epoch 210: Train=0.000756, Val=0.000027, Data=0.000675, Phys=612.401746, Lambda=1.32e-07, LR=1.00e-05
Epoch 211: Train=0.000761, Val=0.000028, Data=0.000678, Phys=612.873786, Lambda=1.36e-07, LR=1.00e-05
Epoch 212: Train=0.000764, Val=0.000025, Data=0.000678, Phys=610.903411, Lambda=1.40e-07, LR=1.00e-05
Epoch 213: Train=0.000764, Val=0.000029, Data=0.000676, Phys=609.814178, Lambda=1.45e-07, LR=1.00e-05
Epoch 214: Train=0.000762, Val=0.000026, Data=0.000671, Phys=609.343780, Lambda=1.49e-07, LR=1.00e-05
Epoch 215: Train=0.000761, Val=0.000027, Data=0.000667, Phys=611.806100, Lambda=1.54e-07, LR=1.00e-05
Epoch 216: Train=0.000760, Val=0.000024, Data=0.000663, Phys=608.699305, Lambda=1.58e-07, LR=1.00e-05
Epoch 217: Train=0.000772, Val=0.000029, Data=0.000673, Phys=608.054648, Lambda=1.63e-07, LR=1.00e-05
Epoch 218: Train=0.000772, Val=0.000025, Data=0.000669, Phys=608.359607, Lambda=1.69e-07, LR=1.00e-05
Epoch 219: Train=0.000762, Val=0.000028, Data=0.000656, Phys=607.086845, Lambda=1.74e-07, LR=1.00e-05
Epoch 220: Train=0.000776, Val=0.000027, Data=0.000668, Phys=605.548901, Lambda=1.79e-07, LR=1.00e-05
Epoch 221: Train=0.000772, Val=0.000028, Data=0.000660, Phys=604.631215, Lambda=1.85e-07, LR=1.00e-05
Epoch 222: Train=0.000772, Val=0.000025, Data=0.000656, Phys=605.810965, Lambda=1.91e-07, LR=1.00e-05
Epoch 223: Train=0.000776, Val=0.000023, Data=0.000657, Phys=605.039945, Lambda=1.96e-07, LR=1.00e-05
Epoch 224: Train=0.000780, Val=0.000023, Data=0.000658, Phys=602.842125, Lambda=2.03e-07, LR=1.00e-05
